publisher_loc,object_ID,year,label,title,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Islington, Metropolitan Borough of",B18248597,1859,Page 024,B18248597,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1848-1859.xml/Islington.1859.b18248597.xml/10182485900550030.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,14,15,16,17,18,19,20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,8,...,4,4,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251481,1871,Page 003,B18251481,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/StPancras.1871.b18251481.xml/10182514800020002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,London.,St. Pancras.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251493,1872,Page 003,B18251493,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/StPancras.1872.b18251493.xml/10182514900080002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,London. 1872.,St. Pancras. 1872.,St. Pancras. 1871.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,0.08,0.07,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251511,1874,Page 007,B18251511,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/StPancras.1874.b18251511.xml/10182515100060003.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,"Annual Average of 10 years, 1864-73.",1874,Proportion of Deaths to 1000 Deaths in 1874..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,59,35,31,44,50,20,35,37,16,38,37,35,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251523,1875,Page 012,B18251523,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/StPancras.1875.b18251523.xml/10182515200090003.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,"Annual Average of 10 years, 1865-74.",1875,Proportion of Deaths to 1000 Deaths in 1875.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,35,31,44,50,20,35,37,16,38,35,34,55,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251535,1876,Page 019,B18251535,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/StPancras.1876.b18251535.xml/10182515300180006.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,"Annual Average of 10 years, 1866-76.","Proportion of Deaths to 1000 Deaths in two years, 1874-75.",1876,Proportion of Deaths to 1000 Deaths in 1876.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,31,44,50,20,35,37,16,38,35,55,36,9.8,38,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251547,1877,Page 010,B18251547,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/StPancras.1877.b18251547.xml/10182515400070006.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,"Annual Average of 10 years, 1967.70.","Proportion of Deaths to 1000 Deaths in 3 years, 1874.76.",1877,Proportion of Deaths to 1000 Deaths in 1877.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,44,50,20,35,37,16,38,35,55,38,37,9.2,22,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251559,1878,Page 016,B18251559,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/StPancras.1878.b18251559.xml/10182515500130006.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,"Annual Average of 10 years, 1868-77.","Proportion of Deaths to 1000 Deaths in 3 years, 1875-77.",1878,Proportion of Deaths to 1000 Deaths in 1878.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,50,20,35,37,16,38,35,55,38,22,34.6,7,23,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Pancras, Metropolitan Borough",B18251560,1879,Page 020,B18251560,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/StPancras.1879.b18251560.xml/10182515600170005.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,"Annual Average of 10 years, 1869-78.","Proportion of Deaths to 1000 Deaths in 3 years, 1876-78.",1879,Propertion of Deaths to 1000 Deaths in 1879.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,20,35,37,16,38,35,55,38,22,23,31.9,5.5,25,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250439,1870,Page 021,B18250439,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1870.b18250439.xml/10182504300200001.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,1,5,1,6,1,2,1,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250440,1871,Page 024,B18250440,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1871.b18250440.xml/10182504400230002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,5,1,6,1,2,1,2,0,4,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250440,1871,Page 042,B18250440,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1871.b18250440.xml/10182504400410006.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Years.,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,13,3,1,2,4,5,3,7,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250452,1872,Page 025,B18250452,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1872.b18250452.xml/10182504500240002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS.,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,5,1,6,1,2,1,2,0,4,...,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250464,1873,Page 020,B18250464,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1873.b18250464.xml/10182504600190001.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,,6,1,2,1,2,...,4,...,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250476,1874,Page 025,B18250476,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1874.b18250476.xml/10182504700240002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250476,1874,Page 046,B18250476,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1874.b18250476.xml/10182504700450006.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1872,1873,1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,15,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250476,1874,Page 061,B18250476,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1874.b18250476.xml/10182504700600011.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Years.,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,2,4,5,3,7,0,2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250488,1875,Page 021,B18250488,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1875.b18250488.xml/10182504800200002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250488,1875,Page 041,B18250488,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1875.b18250488.xml/10182504800400005.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1872,1873,1874,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,15,3,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B1825049X,1876,Page 049,B1825049X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1876.b1825049x.xml/10182504900480014.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1872,1873,1874,1875,1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,15,3,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B1825049X,1876,Page 069,B1825049X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1876.b1825049x.xml/10182504900680025.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Years.,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,...,2,1,2,1,1,1,...,1,4,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250506,1877,Page 042,B18250506,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1877.b18250506.xml/10182505000410006.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1872,1873,1874,1875,1876,1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,15,3,5,7,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250506,1877,Page 060,B18250506,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1877.b18250506.xml/10182505000590011.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,1,2,...,4,...,3,3,...,2,1,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth)",B18250518,1878,Page 062,B18250518,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1878.b18250518.xml/10182505100610009.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS,1808,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,2,...,4,...,3,3,...,2,1,...,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth) ",B1825052X,1879,Page 022,B1825052X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1879.b1825052x.xml/10182505200210008.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1879,1878,1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth) ",B1825052X,1879,Page 034,B1825052X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1879.b1825052x.xml/10182505200330015.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,15,3,5,7,6,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Wandsworth District, The Board of Works (Clapham, Putney, Streatham, Tooting & Wandsworth) ",B1825052X,1879,Page 053,B1825052X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Wandsworth.1879.b1825052x.xml/10182505200520025.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,YEARS,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,••,4,••,3,3,••,2,1,••,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883456,1870,Page 018,B19883456,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1870.b19883456.xml/10198834500170002.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",White chapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1868.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,1,0,1,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883456,1870,Page 014,B19883456,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1870.b19883456.xml/10198834500370014.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1869. (14 weeks.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,,0,0,1,1,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883456,1870,Page 014,B19883456,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1870.b19883456.xml/10198834500530020.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artilery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1869.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883456,1870,Page 015,B19883456,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1870.b19883456.xml/10198834500700028.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1869.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitechapel,B19883456,1870,Page 027,B19883456,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1870-1879.xml/Whitechapel.1870.b19883456.xml/10198834500980032.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Districts.,Artillery,Spitalfields,Mile End New Town,"Whitechapel, North",Whitechapel Church,Goodman's Fields,Aldgate,Totals,"Deaths from Epidemics for the corresponding Quarter, 1869.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,0,0,0,0,0,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
